Comment,Designator,Footprint,LCSC
100n,"C1, C5, C6, C10",Capacitor_SMD:C_0805_2012Metric,C49678
4.7u,C2,Capacitor_SMD:C_0805_2012Metric,C1779
47p,"C3, C4",Capacitor_SMD:C_0805_2012Metric,C14857
10u,"C7, C9",Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B,C140404
2.2u,C8,Capacitor_SMD:C_0805_2012Metric,C49217
LED,D1,LED_SMD:LED_1206_3216Metric,C84270
LED Blue,D2,LED_SMD:LED_0603_1608Metric,C84266
LED Red,D3,LED_SMD:LED_0603_1608Metric,C2286
1k,R1,Resistor_SMD:R_1206_3216Metric,C136873
2.2k,"R2, R3",Resistor_SMD:R_1206_3216Metric,C325909
120,"R4, R13",Resistor_SMD:R_1206_3216Metric,C175512
20k,"R5, R6",Resistor_SMD:R_1206_3216Metric,C18003
10k,"R7, R8, R9, R11",Resistor_SMD:R_1206_3216Metric,C269766
270,"R10, R12, R14, R15",Resistor_SMD:R_1206_3216Metric,C25366
4.7k,"R16, R17, R18",Resistor_SMD:R_1206_3216Metric,C17936 
FT232RL,U1,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,C8690
MAX485E,"U2, U4",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C19738
